timestamp,message
2024-11-11T08:52:32.315000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.317000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.317000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.318000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.318000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.319000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.319000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.321000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.321000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.322000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.322000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.323000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.323000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.325000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.325000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.326000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.326000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.328000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.328000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.329000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.329000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.331000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.331000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.332000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.332000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
